date,close,change,rsi,up,down
2015-12-30,2.98,-0.02,82.96883953080795,0.0,0.0
2015-12-31,2.87,-0.11,79.92317861553734,0.0,0.0
2016-01-04,2.77,-0.1,64.9391730766118,0.0,0.0
2016-01-05,2.75,-0.02,54.352204940586674,0.0,0.0
2016-01-06,2.505,-0.245,52.3995983424527,0.0,0.0
2016-01-07,2.275,-0.23,34.86447699061533,0.0,0.0
2016-01-08,2.14,-0.135,25.65388319697645,0.0,0.0
2016-01-11,2.34,0.2,21.791997657507366,0.0,0.0
2016-01-12,2.39,0.05,37.67686960039235,0.0,0.0
2016-01-13,2.25,-0.14,41.09520840146163,0.0,0.0
2016-01-14,2.21,-0.04,34.95930379665772,0.0,0.0
2016-01-15,2.03,-0.18,33.334127759784394,0.0,0.0
2016-01-19,1.95,-0.08,26.902334646856644,0.0,0.0
2016-01-20,1.8,-0.15,24.501082972923157,0.0,0.0
2016-01-21,2.09,0.29,20.567240573104513,0.0,0.0
2016-01-22,2.02,-0.07,41.36750078836358,0.0,0.0
2016-01-25,2.12,0.1,38.580548671922124,0.0,0.0
2016-01-26,2.07,-0.05,44.66680043731758,0.0,0.0
2016-01-27,2.13,0.06,42.27309879922785,0.0,0.0
2016-01-28,2.08,-0.05,46.22527724850444,0.0,0.0
2016-01-29,2.2,0.12,43.39573581245419,0.0,0.0
2016-02-01,2.14,-0.06,51.533119437699554,0.0,0.0
2016-02-02,1.99,-0.15,47.62113319862001,0.0,0.0
2016-02-03,2.07,0.08,39.13342080998314,0.0,0.0
2016-02-04,2.09,0.02,45.097875630730876,0.0,0.0
2016-02-05,1.98,-0.11,46.593149628378036,0.0,0.0
2016-02-08,1.93,-0.05,39.78263656050144,0.0,0.0
2016-02-09,1.9,-0.03,36.97503412113547,0.0,0.0
2016-02-10,1.84,-0.06,35.268285375095545,0.0,0.0
2016-02-11,1.86,0.02,31.902351026354864,0.0,0.0
2016-02-12,1.83,-0.03,34.29134240129282,0.0,0.0
2016-02-16,1.83,0.0,32.34604141211632,0.0,0.0
2016-02-17,1.9,0.07,32.34604141211632,0.0,0.0
2016-02-18,1.91,0.01,42.318447223495674,0.0,0.0
2016-02-19,1.91,0.0,43.67397902070246,0.0,0.0
2016-02-22,2.01,0.1,43.67397902070246,0.0,0.0
2016-02-23,1.97,-0.04,56.90244053042676,0.0,0.0
2016-02-24,2.02,0.05,51.38556323194439,0.0,0.0
2016-02-25,2.03,0.01,57.29974729354155,0.0,0.0
2016-02-26,2.07,0.04,58.45498263227042,0.0,0.0
2016-02-29,2.14,0.07,63.02764441394277,0.0,0.0
2016-03-01,2.18,0.04,69.69803069509422,0.0,0.0
2016-03-02,2.32,0.14,72.89196381763759,0.0,0.0
2016-03-03,2.46,0.14,80.93150641550582,0.0,0.0
2016-03-04,2.37,-0.09,85.75853522645511,0.0,0.0
2016-03-07,2.47,0.1,72.31017485066175,0.0,0.0
2016-03-08,2.3,-0.17,76.90844604488963,0.0,0.0
2016-03-09,2.26,-0.04,58.147776009746345,0.0,0.0
2016-03-10,2.26,0.0,54.56831319755643,0.0,0.0
2016-03-11,2.52,0.26,54.56831319755643,0.0,0.0
2016-03-14,2.72,0.2,70.16206836274155,0.0,0.0
2016-03-15,2.49,-0.23,77.07851700764483,0.0,0.0
2016-03-16,2.63,0.14,59.07974608758439,0.0,0.0
2016-03-17,2.8,0.17,64.79806284964263,0.0,0.0
2016-03-18,2.93,0.13,70.51588693679813,0.0,0.0
2016-03-21,2.8,-0.13,74.18101955120214,0.0,0.0
2016-03-22,2.79,-0.01,64.9532924483292,0.0,0.0
2016-03-23,2.68,-0.11,64.25066011179538,0.0,0.0
2016-03-24,2.79,0.11,56.559105509679725,0.0,0.0
2016-03-28,2.78,-0.01,61.78713554831648,0.0,0.0
2016-03-29,2.86,0.08,61.02410834908478,0.0,0.0
2016-03-30,2.86,0.0,64.97832781758598,0.0,0.0
2016-03-31,2.85,-0.01,64.97832781758598,0.0,0.0
2016-04-01,2.83,-0.02,63.91957999471244,0.0,0.0
2016-04-04,2.83,0.0,61.62449223905517,0.0,0.0
2016-04-05,2.76,-0.07,61.62449223905517,0.0,0.0
2016-04-06,2.8,0.04,52.935587100730466,0.0,0.0
2016-04-07,2.64,-0.16,56.903880436257424,0.0,0.0
2016-04-08,2.74,0.1,41.07262067965464,0.0,0.0
2016-04-11,2.76,0.02,50.8414893773005,0.0,0.0
2016-04-12,2.81,0.05,52.63620475032062,0.0,0.0
2016-04-13,2.8,-0.01,57.110081756640184,0.0,0.0
2016-04-14,2.72,-0.08,55.90311448950972,0.0,0.0
2016-04-15,2.7,-0.02,46.85041530383595,0.0,0.0
2016-04-18,2.76,0.06,44.77862956669465,0.0,0.0
2016-04-19,2.62,-0.14,52.048792493088015,0.0,0.0
2016-04-20,2.7,0.08,38.523851117318976,0.0,0.0
2016-04-21,2.62,-0.08,47.442750422544115,0.0,0.0
2016-04-22,3.99,1.37,40.69528525789118,0.0,0.0
2016-04-25,3.45,-0.54,84.32549111092223,0.0,0.0
2016-04-26,3.66,0.21,63.33556791224248,0.0,0.0
2016-04-27,3.73,0.07,66.9876906029491,0.0,0.0
2016-04-28,3.61,-0.12,68.19459272258365,0.0,0.0
2016-04-29,3.55,-0.06,63.63655458834813,0.0,0.0
2016-05-02,3.74,0.19,61.2954635660218,0.0,0.0
2016-05-03,3.6,-0.14,65.84308752532857,0.0,0.0
2016-05-04,3.6,0.0,59.91487561711708,0.0,0.0
2016-05-05,3.66,0.06,59.91487561711708,0.0,0.0
2016-05-06,3.68,0.02,61.838187158266805,0.0,0.0
2016-05-09,3.65,-0.03,62.52320136665723,0.0,0.0
2016-05-10,3.64,-0.01,60.656682258232536,0.0,0.0
2016-05-11,3.65,0.01,59.97461159605111,0.0,0.0
2016-05-12,3.59,-0.06,60.48245823856478,0.0,0.0
2016-05-13,3.67,0.08,55.64142082256975,0.0,0.0
2016-05-16,3.79,0.12,60.46353534878858,0.0,0.0
2016-05-17,3.79,0.0,66.67402646401663,0.0,0.0
2016-05-18,3.84,0.05,66.67402646401663,0.0,0.0
2016-05-19,3.77,-0.07,69.29860111053125,0.0,0.0
2016-05-20,3.87,0.1,61.54364600195149,0.0,0.0
2016-05-23,4.04,0.17,67.48438763145074,0.0,0.0
2016-05-24,4.2,0.16,74.99054485029359,0.0,0.0
